2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
8.90,31.00,35.00,67.00,15.00,40.00,39.00,214.00,22.43,35.68,36.46,0.00,113.91
8.70,32.00,33.20,207.00,46.00,43.00,36.00,176.00,22.21,33.57,192.33,0.00,132.62
9.66,33.00,78.70,153.00,101.00,163.00,34.00,121.00,22.71,31.74,140.68,0.00,73.45
9.35,31.00,152.00,87.00,87.00,297.00,32.00,101.00,23.32,30.49,80.79,0.00,56.97
9.04,29.00,165.00,68.00,55.00,2620.00,31.00,84.00,24.13,29.50,62.73,0.00,50.26
8.73,27.00,87.10,60.00,43.00,1230.00,29.00,73.00,24.72,28.42,68.79,0.00,46.01
8.53,26.00,68.20,51.00,37.00,797.00,29.00,66.00,25.52,27.78,82.44,0.00,43.29
8.14,26.00,103.00,45.00,33.00,500.00,30.00,62.00,27.00,27.43,130.71,0.00,76.05
7.95,29.00,67.50,40.00,30.00,341.00,29.00,65.00,30.98,27.68,198.14,0.00,404.49
7.47,28.00,67.40,37.00,28.00,254.00,28.00,85.00,194.71,28.22,393.28,0.00,245.31
8.00,26.00,180.00,36.00,25.00,200.00,27.00,77.00,158.30,28.01,375.57,0.00,199.68
7.90,24.00,117.00,45.00,23.00,165.00,25.00,104.00,243.00,27.48,270.95,0.00,431.88
8.10,23.00,81.50,44.00,22.00,141.00,24.00,250.00,138.76,27.75,214.30,0.00,349.70
8.10,21.00,80.00,79.00,22.00,124.00,23.00,312.00,172.36,27.45,269.40,0.00,209.06
8.20,NA,64.40,124.00,21.00,113.00,22.00,219.00,166.52,30.22,372.08,0.00,168.86
8.40,NA,61.00,108.00,21.00,121.00,23.00,189.00,120.79,33.43,429.44,0.00,144.01
8.30,NA,59.80,86.00,21.00,119.00,22.00,197.00,151.82,35.22,342.59,0.00,159.31
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
