file0me,position,IA_1,core_depth_mm,core_depth,(mm),sample,surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Rb,Sr,Y,Zr,Ba,La,Ce,Pr,Nd,Fe,a*2,Fe,a+b,FeX1,FeX2,FeX3,W,La,W,Lb1,W,Lb2,W,La,inel,W,Lb1,inel,W,Lb2,inel,Mo,inc,Mo,coh,Dt
C:\Data\coo_6\coo_6\XRF,data\L000029.spe,IA_1,60,6,121.08,5.02,1,0.017496,0.000423,0.009336,0.090851,190595,1.65,26,132,9,40,593,482,1228,1870,2339,44,403,352,91984,466,448,527,660,854,3534,219,1227,45,0,73,133,92,250,168,433,334,1886,2267,1594,451,1379,627,879,46556,11970,0.419,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000030.spe,IA_1,62,6.2,123.08,5.03,1,0.017496,0.000423,0.009336,0.090851,183717,1.47,9,69,8,42,510,499,735,1197,1954,104,394,306,75787,536,474,496,733,766,3367,243,1365,65,0,38,81,131,243,164,173,410,1753,2583,1605,264,1368,652,895,47670,11823,0.421,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000031.spe,IA_1,64,6.4,125.08,5.05,1,0.017496,0.000423,0.009336,0.090851,191355,1.51,26,173,27,69,592,518,1170,1748,2360,244,312,350,88721,584,468,466,709,837,3165,121,1155,13,0,126,52,90,269,286,360,416,1767,2156,1683,382,1224,621,840,47724,11819,0.422,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000032.spe,IA_1,66,6.6,127.08,5.06,1,0.017496,0.000423,0.009336,0.090851,200275,1.36,41,211,27,94,780,527,1565,2411,3102,236,290,455,96642,556,489,523,772,1174,3225,56,1213,23,0,114,102,85,393,0,429,445,1838,2403,1700,481,1151,765,849,49238,11838,0.427,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000033.spe,IA_1,68,6.8,129.08,5.07,1,0.017496,0.000423,0.009336,0.090851,194177,1.5,34,189,7,80,799,496,1698,2411,3255,68,394,364,98386,547,451,526,621,763,3204,199,1149,79,58,87,127,121,483,344,531,385,1937,2114,1548,450,1102,658,842,48058,11450,0.419,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000034.spe,IA_1,70,7,131.08,5.08,1,0.017496,0.000423,0.009336,0.090851,198733,1.52,25,272,0,63,790,505,2076,2854,3580,186,399,455,109752,585,414,590,590,984,3188,189,1016,0,25,137,100,88,393,103,460,490,2051,2207,1555,513,928,788,801,46908,11676,0.416,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000035.spe,IA_1,72,7.2,133.08,5.06,1,0.017496,0.000423,0.009336,0.090851,195080,1.45,29,240,18,70,711,533,1875,2761,3175,226,394,497,107067,509,432,454,521,1029,3284,5,1309,85,0,46,60,72,320,0,421,474,2042,2043,1597,496,1050,653,859,44345,11610,0.414,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000036.spe,IA_1,74,7.4,135.08,5.06,1,0.017496,0.000423,0.009336,0.090851,198541,1.56,49,149,10,78,577,515,1454,2374,3058,204,382,478,104327,441,405,531,588,1054,3447,181,1140,0,0,86,18,36,0,0,343,491,2007,2292,1525,349,1171,602,659,46968,11652,0.42,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000037.spe,IA_1,76,7.6,137.08,5.05,1,0.017496,0.000423,0.009336,0.090851,198843,1.81,20,131,27,72,492,458,1265,2082,2603,146,308,468,100975,536,371,549,691,955,3484,145,1083,37,0,38,136,95,229,202,316,435,1864,2068,1672,306,1174,774,915,48287,12223,0.424,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000038.spe,IA_1,78,7.8,139.08,5.02,1,0.017496,0.000423,0.009336,0.090851,201348,1.79,16,48,17,58,237,259,775,1268,2045,144,271,325,86173,466,482,1589,693,1110,2992,219,1137,0,0,72,59,74,299,0,468,446,1861,2487,1646,405,1438,612,1069,49584,11583,0.434,,,,,,,,,,,,,,
